"year_week" "ranking" "change_grp" "change_val" "title" "artist" "gaon_index" "production" "distribution"
"202204" "52" "up" "96" "봄 사랑 벚꽃 말고" "HIGH4, 아이유 (IU)" 29462495 "엔에이피엔터테인먼트" "Kakao Entertainment"
"202204" "53" "down" "9" "Permission to Dance" "방탄소년단" 29252122 "BIGHIT MUSIC / HYBE" "YG PLUS"
"202204" "54" "down" "9" "Bad Habits" "Ed Sheeran" 28889744 "Atlantic Records UK" "Warner Music"
"202204" "55" "down" "4" "너의 모든 순간" "성시경" 28712657 "SBS 콘텐츠허브" "Kakao Entertainment"
"202204" "56" "up" "HOT" "벚꽃 엔딩" "버스커 버스커 (Busker Busker)" 28013005 "Stone Music Entertainment" "지니뮤직"
"202204" "57" "up" "8" "내 손을 잡아" "아이유 (IU)" 27789344 "더그루브엔터테인먼트" "Kakao Entertainment"
"202204" "58" "down" "2" "모든 날, 모든 순간 (Every day, Every Moment)" "폴킴" 27758836 "SM Entertainment" "Dreamus"
"202204" "59" "up" "5" "고백" "멜로망스(Melomance)" 27662427 "카카오엔터테인먼트, 민트페이퍼, 광합성" "Kakao Entertainment"
"202204" "60" "new" "new" "아무래도 난" "주시크 (Joosiq)" 27540588 "뮤직레시피" "Warner Music"
"202204" "61" "down" "24" "만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Pro..." "베이식(Basick)" 27391221 "Stone Music Entertainment" "지니뮤직"
"202204" "62" "down" "5" "밤하늘의 별을(2020)" "경서" 27312525 "꿈의엔진" "Kakao Entertainment"
"202204" "63" "down" "4" "찰나가 영원이 될 때 (The Eternal Moment)" "마크툽 (Maktub)" 26818941 "MAKTUB Company" "Warner Music"
"202204" "64" "down" "10" "어떻게 이별까지 사랑하겠어, 널 사랑하는 거지" "AKMU (악뮤)" 26578540 "YG Entertainment" "YG PLUS"
"202204" "65" "down" "19" "내 생에 아름다운" "이예준" 26515517 "이예준" "Kakao Entertainment"
"202204" "66" "down" "19" "문득" "BE`O (비오)" 26442984 "페임어스 엔터테인먼트" "지니뮤직, Stone Music Entertainment"
"202204" "67" "up" "8" "봄날" "방탄소년단" 26058646 "BIGHIT MUSIC / HYBE" "YG PLUS"
"202204" "68" "down" "16" "낙하 (with 아이유)" "AKMU (악뮤)" 25656546 "YG Entertainment" "YG PLUS"
"202204" "69" "down" "11" "헤픈 우연" "헤이즈 (Heize)" 25606768 "피네이션" "지니뮤직, Stone Music Entertainment"
"202204" "70" "down" "28" "서랍" "10cm" 25497835 "모스트콘텐츠" "NHN벅스"
"202204" "71" "up" "1" "Dun Dun Dance" "오마이걸 (OH MY GIRL)" 25306804 "WM엔터테인먼트" "Sony Music"
"202204" "72" "down" "9" "사이렌 Remix (Feat. UNEDUCATED KID, Paul ..." "호미들" 25192478 "영앤리치 레코즈" "Kakao Entertainment"
"202204" "73" "down" "18" "My Universe" "Coldplay, 방탄소년단" 25034428 "Parlophone UK" "Warner Music"
"202204" "74" "up" "5" "다시 사랑한다면 (김필 Ver.)" "임영웅" 24909851 "TV CHOSUN, 쇼플레이" "Kakao Entertainment"
"202204" "75" "down" "40" "겨울잠" "아이유 (IU)" 24812224 "EDAM엔터테인먼트" "Kakao Entertainment"
"202204" "76" "down" "42" "Can`t Control Myself" "태연 (TAEYEON)" 24059244 "SM Entertainment" "Dreamus"
"202204" "77" "up" "72" "벚꽃이 피면 우리 그만 헤어져" "벤 (Ben)" 23790809 "메이저나인" "지니뮤직"
"202204" "78" "down" "10" "롤린 (Rollin`)" "브레이브걸스 (Brave Girls)" 23621628 "브레이브 엔터테인먼트" "음악형제들"
"202204" "79" "down" "8" "Off My Face" "Justin Bieber" 23408671 "RBMG/Def Jam" "Universal Music"
"202204" "80" "up" "26" "DAYDREAM" "하이라이트(Highlight)" 23301094 "어라운드 어스" "Kakao Entertainment"
"202204" "81" "down" "8" "아주, 천천히" "비비(BIBI)" 23099158 "스튜디오 마음C, 화앤담픽쳐스" "YG PLUS"
"202204" "82" "new" "new" "That`s Hilarious" "Charlie Puth" 22351835 "Atlantic Records UK" "Warner Music"
"202204" "83" "up" "33" "흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야" "장범준" 21267643 "Stone Music Entertainment, 삼화네트웍스" "지니뮤직, Stone Music Entertainment"
"202204" "84" "up" "7" "그대라는 사치" "임영웅" 21233915 "TV CHOSUN, 쇼플레이" "Kakao Entertainment"
"202204" "85" "down" "35" "Christmas Tree" "V" 20965194 "모스트콘텐츠" "NHN벅스"
"202204" "86" "new" "new" "너의 번호를 누르고" "김나영" 20076046 "니즈뮤직" "NHN벅스"
"202204" "87" "up" "3" "With" "김태리, 남주혁, 보나(우주소녀), 최현욱, 이주명" 20071971 "스튜디오 마음C, 화앤담픽쳐스" "YG PLUS"
"202204" "88" "down" "45" "우리가 헤어져야 했던 이유" "비비(BIBI)" 19649016 "모스트콘텐츠" "NHN벅스"
"202204" "89" "down" "6" "Stronger (What Doesn`t Kill You)" "Kelly Clarkson" 19461292 "Sony Music" "Sony Music"
"202204" "90" "new" "new" "Seoul" "볼빨간사춘기" 19397744 "쇼파르엔터테인먼트" "NHN벅스"
"202204" "91" "up" "HOT" "나는 트로트가 싫어요" "임창정" 19177213 "YES IM ENTERTAINMENT" "인터파크"
"202204" "92" "up" "2" "O.O" "NMIXX" 19068668 "JYP Entertainment" "Dreamus"
